category,policy_name,description,default_enforcement,example
security,secrets-management,"All secrets must be stored in environment variables or secret managers, never in code or config files",mandatory,"Use .env files locally, vault/KMS in production"
security,authentication,"All user-facing endpoints must require authentication unless explicitly documented as public",mandatory,"JWT, OAuth 2.0, or session-based auth required"
security,data-encryption,"PII and sensitive data must be encrypted at rest and in transit",mandatory,"TLS 1.2+ for transit, AES-256 for rest"
security,dependency-scanning,"All dependencies must be scanned for known vulnerabilities before deployment",recommended,"npm audit, Snyk, Dependabot"
coding,code-review,"All production code changes must be reviewed by at least one other developer or AI agent",mandatory,"PR review required before merge"
coding,testing-minimum,"All new features must include unit tests; critical paths must have integration tests",mandatory,"Minimum 60% coverage for new code"
coding,linting,"Code must pass configured linters with zero errors before commit",mandatory,"ESLint, Prettier, language-specific linters"
coding,naming-conventions,"Follow language-specific naming conventions consistently across the codebase",recommended,"camelCase for JS/TS, snake_case for Python"
documentation,api-documentation,"All public APIs must have documented endpoints, parameters, and response formats",mandatory,"OpenAPI/Swagger for REST, GraphQL schema for GraphQL"
documentation,architecture-decisions,"Significant architecture decisions must be documented with rationale",recommended,"ADRs or architecture document sections"
documentation,changelog,"All user-facing changes must be documented in a changelog",recommended,"Keep a CHANGELOG format"
deployment,environment-parity,"Development, staging, and production environments must be as similar as possible",recommended,"Docker, infrastructure-as-code"
deployment,rollback-plan,"Every deployment must have a documented rollback procedure",mandatory,"Database migration rollbacks, blue-green or canary"
deployment,monitoring,"Production systems must have health checks, logging, and alerting configured",mandatory,"Application and infrastructure monitoring"
